DICE,HDRFDST(0.95),VOLSMTY,MUTINF,MAHLNBS,label,weight,id
0.0,inf,0.0,0.0,inf,0,1.0,1
0.142925,28.740216,0.582547,0.000903,1.599082,1,1.0,2
0.581908,13.747727,0.618668,0.036952,0.207911,1,1.0,3
0.118326,46.141088,0.415584,9.7e-05,0.73126,1,1.0,4
0.193197,50.119856,0.293878,0.000193,1.120865,1,1.0,5
0.027427,45.814845,0.033084,0.00168,1.407204,1,1.0,6
0.0,26.888659,0.589595,0.0,13.553906,1,1.0,7
0.69076,11.874342,0.698813,0.110853,0.304464,1,1.0,8
0.39059,32.388269,0.912862,0.002698,0.761396,1,1.0,9
