label,DICE_median,DICE_q1,DICE_q3,HDRFDST(0.95)_median,HDRFDST(0.95)_q1,HDRFDST(0.95)_q3,VOLSMTY_median,VOLSMTY_q1,VOLSMTY_q3,MUTINF_median,MUTINF_q1,MUTINF_q3,MAHLNBS_median,MAHLNBS_q1,MAHLNBS_q3,DICE_iqr,HDRFDST(0.95)_iqr,VOLSMTY_iqr,MUTINF_iqr,MAHLNBS_iqr
0,0.0,0.0,0.0,inf,,,0.0,0.0,0.0,0.0,0.0,0.0,inf,,,0.0,,0.0,0.0,
1,0.16806100000000002,0.09560125,0.43841949999999996,30.5642425,23.603426,45.89640575,0.586071,0.3851575,0.63870425,0.0012915000000000001,0.000169,0.0112615,0.9411305,0.624561,1.4551735,0.34281825,22.29297975,0.25354675,0.0110925,0.8306124999999999
