DICE,HDRFDST(0.95),VOLSMTY,MUTINF,MAHLNBS,label,weight,id
0.0,inf,0.0,0.0,inf,0,1.0,1
0.053944,62.27359,0.059483,0.002794,0.797349,1,1.0,2
0.720454,23.345235,0.997779,0.031429,0.325618,1,1.0,3
0.07426,76.609399,0.144506,0.000163,1.055243,1,1.0,4
0.054466,54.378304,0.235294,5.4e-05,1.031685,1,1.0,5
0.039079,49.345719,0.054366,0.001569,1.473923,1,1.0,6
0.04578,81.79242,0.087268,0.000133,1.332362,1,1.0,7
0.832741,12.041595,0.875734,0.156922,0.065593,1,1.0,8
0.371303,24.186773,0.855422,0.003087,0.504118,1,1.0,9
