label,DICE_median,DICE_q1,DICE_q3,HDRFDST(0.95)_median,HDRFDST(0.95)_q1,HDRFDST(0.95)_q3,VOLSMTY_median,VOLSMTY_q1,VOLSMTY_q3,MUTINF_median,MUTINF_q1,MUTINF_q3,MAHLNBS_median,MAHLNBS_q1,MAHLNBS_q3,DICE_iqr,HDRFDST(0.95)_iqr,VOLSMTY_iqr,MUTINF_iqr,MAHLNBS_iqr
1,0.882894,0.882894,0.882894,11.916375,11.916375,11.916375,0.969459,0.969459,0.969459,0.116297,0.116297,0.116297,0.049995,0.049995,0.049995,0.0,0.0,0.0,0.0,0.0
2,0.832708,0.832708,0.832708,6.164414,6.164414,6.164414,0.942777,0.942777,0.942777,0.205905,0.205905,0.205905,0.016134,0.016134,0.016134,0.0,0.0,0.0,0.0,0.0
3,0.810307,0.810307,0.810307,7.211103,7.211103,7.211103,0.899076,0.899076,0.899076,0.151795,0.151795,0.151795,0.020009,0.020009,0.020009,0.0,0.0,0.0,0.0,0.0
