label,DICE_median,DICE_q1,DICE_q3,HDRFDST(0.95)_median,HDRFDST(0.95)_q1,HDRFDST(0.95)_q3,VOLSMTY_median,VOLSMTY_q1,VOLSMTY_q3,MUTINF_median,MUTINF_q1,MUTINF_q3,MAHLNBS_median,MAHLNBS_q1,MAHLNBS_q3,DICE_iqr,HDRFDST(0.95)_iqr,VOLSMTY_iqr,MUTINF_iqr,MAHLNBS_iqr
1,0.646907,0.5841815,0.7096325,39.934231,39.4991405,40.3693215,0.97566,0.9725865,0.9787334999999999,0.019091,0.016053,0.022129,0.6974885,0.50750225,0.88747475,0.12545099999999998,0.8701809999999952,0.0061469999999999025,0.006075999999999998,0.37997249999999994
2,0.4521945,0.34835275,0.55603625,26.663793,22.5242845,30.8033015,0.9043535,0.86154525,0.94716175,0.000616,0.000443,0.000789,1.3651805000000001,0.8719792500000001,1.8583817500000002,0.20768350000000002,8.279017,0.08561649999999998,0.000346,0.9864025000000001
3,0.5565465,0.37863325000000003,0.73445975,24.489734499999997,24.05587925,24.923589749999998,0.9804405,0.97070975,0.99017125,0.003476,0.002062,0.00489,1.2661055,0.7329982500000001,1.7992127500000001,0.35582649999999993,0.8677104999999976,0.01946149999999991,0.0028280000000000002,1.0662145
4,0.568478,0.484414,0.652542,23.692417499999998,23.48665525,23.89817975,0.9805524999999999,0.97177675,0.98932825,0.0024425000000000002,0.00197125,0.00291375,1.0384855,0.77927175,1.29769925,0.16812799999999994,0.4115245000000023,0.017551500000000053,0.0009425000000000002,0.5184274999999999
5,0.69618,0.688999,0.703361,28.118012,27.5311995,28.7048245,0.9316335,0.93127125,0.93199575,0.000871,0.0008604999999999999,0.0008815,0.6470374999999999,0.52207675,0.77199825,0.014361999999999986,1.1736250000000013,0.0007245000000000168,2.1000000000000077e-05,0.24992150000000002
6,0.729307,0.7004565,0.7581575,38.7902335,37.53347375,40.04699325,0.9664775,0.95263275,0.98032225,0.0016619999999999998,0.0015715,0.0017525,0.499588,0.3460805,0.6530954999999999,0.057701,2.513519500000001,0.027689499999999923,0.00018099999999999995,0.3070149999999999
7,0.7749245,0.76883825,0.7810107500000001,27.560783999999998,27.243304,27.878264,0.9305939999999999,0.908654,0.952534,0.0010505,0.00102825,0.00107275,0.49965550000000003,0.48136775,0.51794325,0.012172500000000142,0.6349600000000031,0.04388000000000003,4.4499999999999835e-05,0.03657549999999998
8,0.8146305,0.75887775,0.8703832499999999,5.505516,3.8707920000000002,7.14024,0.8671875,0.80078125,0.93359375,0.0002235,0.00017725,0.00026974999999999997,0.4392095,0.24860775,0.6298112499999999,0.11150549999999992,3.269448,0.1328125,9.249999999999997e-05,0.3812034999999999
9,0.8923095,0.8907657499999999,0.89385325,4.455595,3.642011,5.269179,0.9501809999999999,0.9297625,0.9705995,0.00029699999999999996,0.00029099999999999997,0.000303,0.172655,0.170286,0.175024,0.003087500000000132,1.6271680000000002,0.0408369999999999,1.200000000000002e-05,0.00473800000000002
10,0.667996,0.6318790000000001,0.704113,32.832294000000005,32.211716,33.452872,0.9349045,0.91040275,0.95940625,0.0006025,0.00057825,0.00062675,0.7091369999999999,0.577484,0.8407899999999999,0.07223399999999991,1.2411559999999966,0.04900349999999998,4.850000000000004e-05,0.26330599999999993
11,0.7631635,0.74521825,0.78110875,16.224745,9.3371175,23.1123725,0.965468,0.9619925,0.9689435,0.000399,0.000377,0.000421,0.5262355000000001,0.50831125,0.54415975,0.03589050000000005,13.775255,0.0069509999999999295,4.3999999999999985e-05,0.03584850000000006
12,0.784155,0.7836860000000001,0.784624,2.9208095,2.57843875,3.26318025,0.9105825000000001,0.88510475,0.93606025,0.00025,0.00023,0.00027,0.3576495,0.34350825,0.37179075,0.0009379999999998834,0.6847414999999999,0.05095550000000004,3.9999999999999996e-05,0.028282499999999988
13,0.793776,0.791809,0.7957430000000001,10.5,10.25,10.75,0.9238824999999999,0.90808825,0.93967675,0.0008705,0.00080725,0.00093375,0.252019,0.2363045,0.26773349999999996,0.003934000000000104,0.5,0.03158849999999991,0.00012649999999999998,0.03142899999999996
