DICE,HDRFDST(0.95),VOLSMTY,MUTINF,MAHLNBS
0.946909,12.4499,0.972935,0.133917,0.036691
0.917582,5.744563,0.973567,0.248498,0.008289
0.912989,6.708204,0.949465,0.198639,0.014071
