label,DICE_median,DICE_q1,DICE_q3,HDRFDST(0.95)_median,HDRFDST(0.95)_q1,HDRFDST(0.95)_q3,VOLSMTY_median,VOLSMTY_q1,VOLSMTY_q3,MUTINF_median,MUTINF_q1,MUTINF_q3,MAHLNBS_median,MAHLNBS_q1,MAHLNBS_q3,DICE_iqr,HDRFDST(0.95)_iqr,VOLSMTY_iqr,MUTINF_iqr,MAHLNBS_iqr
1,0.4511135,0.22557425,0.67665275,26.065288499999998,16.23420625,35.896370749999996,0.990464,0.988532,0.9923960000000001,0.014534,0.007275000000000001,0.021793,2.1347080000000003,1.0768515,3.1925645000000005,0.45107850000000005,19.662164499999996,0.0038640000000000896,0.014518,2.1157130000000004
2,0.4488695,0.22632075,0.67141825,26.2985805,16.23149725,36.365663749999996,0.9872715,0.98711825,0.98742475,0.0172045,0.00860225,0.025806750000000003,1.6010024999999999,0.80658175,2.39542325,0.44509750000000003,20.134166499999996,0.00030649999999998734,0.017204500000000005,1.5888415
3,0.379129,0.1895645,0.5686935,20.5258705,12.55422325,28.497517749999997,0.892978,0.8911995,0.8947565,0.0006035,0.00030175,0.00090525,2.2276480000000003,1.2244905,3.2308055,0.37912899999999994,15.943294499999997,0.0035569999999999213,0.0006035000000000001,2.0063150000000003
4,0.472469,0.2362345,0.7087034999999999,14.1617625,8.49509475,19.82843025,0.985893,0.9812755,0.9905105000000001,0.003274,0.001637,0.0049110000000000004,2.4323675000000002,1.27040475,3.5943302500000005,0.4724689999999999,11.3333355,0.009235000000000104,0.0032740000000000004,2.3239255000000005
5,0.4564335,0.22821675,0.68465025,15.1787225,10.08936125,20.26808375,0.9682145,0.95281275,0.98361625,0.0022955,0.00114775,0.0034432499999999997,2.026074,1.0969425,2.9552055,0.45643350000000005,10.1787225,0.030803499999999984,0.0022955,1.858263
6,0.3921225,0.19606125,0.58818375,17.1210025,10.73995075,23.50205425,0.9799990000000001,0.9750085000000001,0.9849895,0.0005225,0.00026125,0.0007837499999999999,3.899673,2.1072245,5.6921215,0.39212250000000004,12.7621035,0.009980999999999907,0.0005225,3.584897
7,0.4445105,0.22225525,0.6667657499999999,22.728172,13.5435355,31.9128085,0.993011,0.991001,0.9950209999999999,0.001137,0.0005685,0.0017055,5.5427575,2.81421075,8.27130425,0.4445104999999999,18.369273,0.0040199999999999125,0.001137,5.4570935
8,0.439899,0.2199495,0.6598485,16.553889,10.5130125,22.5947655,0.973506,0.9608355000000001,0.9861765,0.000639,0.0003195,0.0009585,4.290045999999999,2.275085,6.305007,0.43989899999999993,12.081753,0.025340999999999947,0.000639,4.029922
9,0.8005165000000001,0.7558137500000001,0.84521925,5.2426405,3.62132025,6.86396075,0.8542635000000001,0.82713175,0.88139525,0.0002085,0.00017325,0.00024375,0.5013755,0.32916225,0.6735887500000001,0.08940549999999992,3.2426405000000003,0.05426349999999991,7.049999999999998e-05,0.3444265000000001
10,0.9107495000000001,0.9075952500000001,0.91390375,17.0548895,9.23455175,24.875227250000002,0.955758,0.951634,0.959882,0.000304,0.000295,0.000313,0.13951449999999999,0.10989925,0.16912975,0.006308499999999939,15.640675500000002,0.008248000000000033,1.8000000000000004e-05,0.05923049999999999
11,0.4343575,0.21717875,0.65153625,18.8767245,11.49991525,26.253533750000003,0.9515565,0.92919675,0.97391625,0.000397,0.0001985,0.0005955,5.368048,2.709369,8.026727000000001,0.43435750000000006,14.753618500000002,0.04471950000000002,0.000397,5.3173580000000005
12,0.4445325,0.22226625,0.66679875,16.207107,8.8106605,23.6035535,0.972747,0.970214,0.97528,0.000254,0.000127,0.000381,6.0291845,3.1211307500000003,8.93723825,0.4445325,14.792893000000001,0.005066000000000015,0.000254,5.816107499999999
13,0.4284155,0.21420775,0.64262325,8.082228,5.159148,11.005308,0.9975175000000001,0.99711925,0.99791575,0.0001805,9.025e-05,0.00027075,3.0620890000000003,1.596567,4.527611,0.42841549999999995,5.846159999999999,0.0007964999999999778,0.0001805,2.931044
14,0.4349085,0.21745425,0.65236275,8.732051,6.0980764999999995,11.3660255,0.942685,0.941832,0.943538,0.000556,0.000278,0.0008339999999999999,1.9407569999999998,1.129119,2.752395,0.43490850000000003,5.267949,0.0017059999999999853,0.0005559999999999999,1.623276
