DICE,HDRFDST(0.95),VOLSMTY,MUTINF,MAHLNBS,label,weight,id
3.5e-05,45.727453,0.9866,1.6e-05,4.250421,1,0.18114342,15
0.003772,46.432747,0.986965,0.0,3.189844,2,0.22598389,15
0.0,36.469165,0.896535,0.0,4.233963,3,0.0059372997,15
0.0,25.495098,0.995128,0.0,4.756293,4,0.023006639,15
0.0,25.357445,0.937411,0.0,3.884337,5,0.022643326,15
0.0,29.883106,0.98998,0.0,7.48457,6,0.0056217914,15
0.0,41.097445,0.997031,0.0,10.999851,7,0.010166391,15
0.0,28.635642,0.998847,0.0,8.319968,8,0.005535743,15
0.889922,2.0,0.908527,0.000279,0.156949,9,0.0011218087,15
0.917058,1.414214,0.964006,0.000286,0.080284,10,0.0010548825,15
0.0,33.630343,0.906837,0.0,10.685406,11,0.0043565696,15
0.0,31.0,0.967681,0.0,11.845292,12,0.0017305174,15
0.0,13.928388,0.998314,0.0,5.993133,13,0.00094652607,15
0.0,14.0,0.940979,0.0,3.564033,14,0.0040315,15
0.000597,45.276926,0.973195,9e-06,4.260415,15,0.18635409,15
0.013842,44.754888,0.976652,4.2e-05,3.169714,16,0.22822751,15
0.0,33.778692,0.911805,0.0,4.18631,17,0.0063898475,15
0.0,24.515301,0.990549,0.0,4.801183,18,0.021954942,15
0.002525,23.216374,0.982235,1e-06,3.729262,19,0.017356165,15
0.0,27.221315,0.949453,0.0,7.3858,20,0.0064249043,15
0.0,35.355339,0.956037,0.0,11.938098,21,0.006826461,15
0.0,26.944387,0.91505,0.0,8.575304,22,0.0033813608,15
0.0,35.0,0.942163,0.0,10.786022,23,0.003817974,15
0.0,31.827661,0.941176,0.0,11.972045,24,0.0016062261,15
0.0,13.601471,0.899471,0.0,6.803972,25,0.0008126739,15
0.003754,13.0,0.991084,1e-06,3.540353,26,0.0034259781,15
0.953209,2.236068,0.994652,0.001223,0.043102,27,0.0047931825,15
0.946785,1.414214,0.992794,0.001433,0.072578,28,0.005707839,15
0.952693,2.828427,0.989935,0.001578,0.055287,29,0.0063962215,15
0.973236,1.414214,0.990754,0.000901,0.015276,30,0.0032443216,15
0.902192,6.403124,0.994328,0.029052,0.018995,1,0.17985474,8
0.893967,6.164414,0.987578,0.034409,0.012161,2,0.220679,8
0.758258,4.582576,0.889421,0.001207,0.221333,3,0.006628799,8
0.944938,2.828427,0.976658,0.006548,0.108442,4,0.029312434,8
0.912867,5.0,0.999018,0.004591,0.167811,5,0.020383555,8
0.784245,4.358899,0.970018,0.001045,0.314776,6,0.005005886,8
0.889021,4.358899,0.988991,0.002274,0.085664,7,0.009708905,8
0.879798,4.472136,0.948165,0.001278,0.260124,8,0.005363041,8
0.711111,8.485281,0.8,0.000138,0.845802,9,0.00069430954,8
0.904441,32.695565,0.94751,0.000322,0.198745,10,0.0011171811,8
0.868715,4.123106,0.996276,0.000794,0.05069,11,0.0030572477,8
0.889065,1.414214,0.977813,0.000508,0.213077,12,0.0017629176,8
0.856831,2.236068,0.996721,0.000361,0.131045,13,0.0013114735,8
0.869817,3.464102,0.944391,0.001112,0.317481,14,0.0046915896,8
0.903233,6.082763,0.9769,0.028607,0.053356,15,0.17900328,8
0.893005,5.477226,0.994371,0.035285,0.032128,16,0.2296393,8
0.793507,10.816654,0.902608,0.001166,0.180561,17,0.0058916304,8
0.956804,3.0,0.982483,0.006945,0.03756,18,0.03045533,8
0.956415,3.0,0.993937,0.004311,0.050379,19,0.01754346,8
0.884221,3.464102,0.962998,0.001483,0.20877,20,0.006205927,8
0.941726,4.582576,0.998579,0.001877,0.073188,21,0.007045956,8
0.943466,2.0,0.969416,0.000899,0.044777,22,0.002988674,8
0.918399,2.0,0.996151,0.001019,0.055121,23,0.0036972696,8
0.875569,2.236068,0.952959,0.000518,0.29821,24,0.0017943472,8
0.759142,2.828427,0.991173,0.000271,0.446311,25,0.0011428964,8
0.918298,4.123106,0.971915,0.000932,0.14989,26,0.003451547,8
0.940548,2.236068,0.98908,0.001598,0.103669,27,0.0058230567,8
0.959835,1.414214,0.993306,0.001564,0.058949,28,0.0055116178,8
0.963543,2.44949,0.98826,0.001922,0.081003,29,0.0070173834,8
0.956989,4.123106,0.991039,0.000945,0.059951,30,0.0032172531,8
