DICE,HDRFDST(0.95),VOLSMTY,MUTINF,MAHLNBS,label,weight,id
0.0,42.09513,0.998398,2.2e-05,4.223171,1,0.23556848,15
0.0,35.958309,0.897831,0.0,4.257525,2,0.006715183,15
0.0,26.248809,0.998962,0.0,4.743091,3,0.026010072,15
0.0,25.39685,0.931338,0.0,3.889571,4,0.025609972,15
0.0,29.883106,0.983004,0.0,7.42589,5,0.0063583376,15
0.0,40.249224,0.99346,0.0,10.951882,6,0.011498354,15
0.0,28.248894,0.996272,0.0,8.201511,7,0.0062610162,15
0.903817,2.44949,0.925191,0.000288,0.166425,8,0.0012687839,15
0.948454,1.732051,0.974963,0.000317,0.08945,9,0.0011930894,15
0.0,34.014703,0.908147,0.0,10.918186,10,0.004927351,15
0.0,30.430248,0.970616,0.0,11.962758,11,0.0019572433,15
0.0,13.490738,0.931655,0.0,6.259414,12,0.0010705364,15
0.0,14.0,0.949772,0.0,3.54495,13,0.0045596925,15
0.001651,41.048752,0.972845,5e-06,4.163587,14,0.23989388,15
0.0,34.146742,0.917971,0.0,4.22253,15,0.007227022,15
0.0,24.698178,0.992717,0.0,4.77141,16,0.024809772,15
0.001252,22.293497,0.974327,0.0,3.763519,17,0.019630106,15
0.0,27.221315,0.967742,0.0,7.365116,18,0.007266672,15
0.0,34.985711,0.968354,0.0,11.773036,19,0.0077208388,15
0.0,26.944387,0.924216,0.0,8.59321,20,0.0038243744,15
0.0,35.832946,0.939354,0.0,11.023217,21,0.0043181907,15
0.0,30.675723,0.963671,0.0,12.019071,22,0.001816668,15
0.0,13.892444,0.857143,0.0,6.767451,23,0.00091914745,15
0.0,13.038405,0.997201,0.0,3.561122,24,0.0038748374,15
0.948769,2.236068,0.999335,0.00122,0.059695,25,0.0054211677,15
0.944145,1.414214,0.984406,0.001398,0.082821,26,0.0064556594,15
0.957733,2.0,0.980699,0.001635,0.035752,27,0.007234231,15
0.963973,1.414214,0.991237,0.000887,0.042455,28,0.003669381,15
0.0,32.710854,0.592255,0.0,4.204285,29,0.0022275809,15
0.0,66.370174,0.976974,0.0,24.286854,30,0.002241999,15
0.015748,7.0,0.974628,4e-06,3.187013,31,0.0020077063,15
0.0,45.276926,0.947061,0.0,10.931612,32,0.0046750363,15
0.001017,17.578396,0.976602,0.0,3.408472,33,0.00346032,15
0.0,40.211939,0.997416,0.0,18.215658,34,0.00069927296,15
0.0,49.050994,0.951367,0.0,10.769048,35,0.00483003,15
0.0,52.134442,0.949829,0.0,10.102678,36,0.01052514,15
0.0,66.196677,0.957031,0.0,20.851214,37,0.005298615,15
0.0,16.552945,0.904523,0.0,4.306157,38,0.002270835,15
0.0,37.536649,0.908219,0.0,4.317273,39,0.009559134,15
0.0,36.71512,0.923077,0.0,6.572567,40,0.004065876,15
0.021796,24.372115,0.961598,1.5e-05,3.550798,41,0.006679138,15
0.0,10.440307,0.952706,0.0,4.123771,42,0.004029831,15
0.0,71.288148,0.922214,0.0,22.049983,43,0.0071152826,15
0.0,36.71512,0.468944,0.0,13.576517,44,0.00054427946,15
0.0,13.56466,0.837951,0.0,3.804103,45,0.003597291,15
0.0,58.557664,0.940774,0.0,19.366434,46,0.0033521848,15
0.0,51.166395,0.926569,0.0,21.736652,47,0.0012507614,15
0.0,56.364883,0.903005,0.0,19.79395,48,0.0028944134,15
0.0,19.595918,0.994207,0.0,4.209123,49,0.0034422975,15
0.0,54.644304,0.972323,0.0,5.876968,50,0.011242435,15
0.0,11.045361,0.953224,0.0,3.150217,51,0.002717793,15
0.0,56.356011,0.950385,0.0,5.18274,52,0.012669817,15
0.003384,18.466185,0.929115,2e-06,2.883029,53,0.009897957,15
0.0,8.485281,0.984642,0.0,3.893445,54,0.0020797965,15
0.0,45.354162,0.934235,0.0,7.670496,55,0.011956126,15
0.0,20.124612,0.980451,0.0,3.075493,56,0.018516315,15
0.0,29.698485,0.963135,0.0,4.714788,57,0.014926234,15
0.0,64.822835,0.962455,0.0,15.204589,58,0.010626066,15
0.0,62.521996,0.971501,0.0,14.362382,59,0.011772296,15
0.0,13.190906,0.865385,0.0,5.438834,60,0.0004866075,15
0.0,46.561787,0.946401,0.0,12.786713,61,0.0011137904,15
0.0,62.016127,0.934579,0.0,25.519495,62,0.001232739,15
0.0,42.059482,0.939897,0.0,9.043739,63,0.005608602,15
0.0,31.591138,0.814394,0.0,3.764052,64,0.0007749675,15
0.0,66.437941,0.881356,0.0,27.198312,65,0.0017806229,15
0.0,9.055385,0.524642,0.0,4.265312,66,0.0005947425,15
0.0,45.398238,0.693665,0.0,10.647299,67,0.0031178924,15
0.0,14.798649,0.75299,0.0,3.806423,68,0.0026096578,15
0.0,36.276714,0.546318,0.0,18.493586,69,0.00041451748,15
0.0,45.110974,0.917404,0.0,10.851154,70,0.004483998,15
0.0,54.854353,0.914644,0.0,10.31389,71,0.009984464,15
0.0,62.521996,0.99648,0.0,20.050969,72,0.005612206,15
0.003208,19.26136,0.554932,1e-06,3.354425,73,0.001247157,15
0.0,40.718546,0.786864,0.0,6.168633,74,0.006434032,15
0.0,35.818989,0.613151,0.0,6.844766,75,0.0025880309,15
0.0,23.790755,0.809375,0.0,4.413574,76,0.0046678274,15
0.0,11.445523,0.554478,0.0,4.928453,77,0.0017517869,15
0.0,70.887234,0.994171,0.0,22.141716,78,0.0077749062,15
0.0,32.54228,0.667543,0.0,11.154008,79,0.00091554294,15
0.0,13.266499,0.312309,0.0,4.922682,80,0.0011065814,15
0.0,59.715995,0.778025,0.0,18.612057,81,0.0018887579,15
0.0,53.103672,0.693603,0.0,21.922966,82,0.0011137904,15
0.0,56.364883,0.790455,0.0,20.278786,83,0.001910385,15
0.0,17.720045,0.909091,0.0,6.294046,84,0.0022528125,15
0.0,53.684262,0.391586,0.0,6.415811,85,0.002616867,15
0.009506,9.219544,0.391635,2e-06,2.63483,86,0.00074252696,15
0.0,56.213877,0.448872,0.0,5.677229,87,0.004303773,15
0.001831,17.349352,0.824025,1e-06,2.838138,88,0.008110125,15
0.0,9.055385,0.581395,0.0,4.949595,89,0.00072089996,15
0.0,44.022721,0.719598,0.0,7.949349,90,0.0069747074,15
0.0,20.124612,0.871249,0.0,3.284199,91,0.0137079125,15
0.0,31.638584,0.622023,0.0,4.834489,92,0.0077676973,15
0.0,65.222695,0.725507,0.0,16.544012,93,0.006059164,15
0.0,60.448325,0.602313,0.0,13.356199,94,0.0043181907,15
0.0,15.165751,0.534591,0.0,6.123704,95,0.00030638248,15
0.0,48.301139,0.816728,0.0,14.49407,96,0.001196694,15
0.0,55.937465,0.254403,0.0,20.55519,97,0.00023429249,15
0.0,54.424259,0.596398,0.0,13.787484,98,0.003222423,15
0.887472,6.708204,0.990721,0.031621,0.027182,1,0.21499649,8
0.7183,10.049876,0.866357,0.001107,0.200975,2,0.006895486,8
0.931512,3.0,0.966991,0.006345,0.152809,3,0.030461997,8
0.898773,5.0,0.99422,0.004466,0.186428,4,0.021203618,8
0.761271,5.09902,0.939788,0.000981,0.338157,5,0.0052072806,8
0.872121,5.09902,0.970303,0.002178,0.151806,6,0.010099509,8
0.867598,4.123106,0.951397,0.001256,0.312535,7,0.0055788048,8
0.698734,8.485281,0.76962,0.000132,0.794815,8,0.0007222427,8
0.926509,4.472136,0.973753,0.00034,0.083802,9,0.0011621271,8
0.853273,4.123106,0.96614,0.000798,0.067813,10,0.0031802456,8
0.885145,1.414214,0.94487,0.000522,0.175218,11,0.0018338426,8
0.84303,3.162278,0.992316,0.000352,0.344682,12,0.0013642362,8
0.839855,4.123106,0.920092,0.001041,0.36625,13,0.0048803394,8
0.890426,5.744563,0.976264,0.031595,0.050731,14,0.21619429,8
0.757062,10.816654,0.890503,0.001086,0.267527,15,0.0061286604,8
0.951812,2.236068,0.991519,0.006924,0.049696,16,0.03163007,8
0.939038,3.605551,0.985627,0.004157,0.11217,17,0.01824926,8
0.864281,4.242641,0.956522,0.001429,0.25048,18,0.006455601,8
0.936395,4.358899,0.997765,0.00186,0.063637,19,0.007329426,8
0.920038,2.236068,0.984008,0.000853,0.144965,20,0.003108913,8
0.906867,2.236068,0.97869,0.000979,0.112228,21,0.0038460167,8
0.854151,2.236068,0.939417,0.000508,0.319714,22,0.0018665367,8
0.711111,3.0,0.987654,0.000255,0.637901,23,0.0011888769,8
