label,DICE_median,DICE_q1,DICE_q3,HDRFDST(0.95)_median,HDRFDST(0.95)_q1,HDRFDST(0.95)_q3,VOLSMTY_median,VOLSMTY_q1,VOLSMTY_q3,MUTINF_median,MUTINF_q1,MUTINF_q3,MAHLNBS_median,MAHLNBS_q1,MAHLNBS_q3,DICE_iqr,HDRFDST(0.95)_iqr,VOLSMTY_iqr,MUTINF_iqr,MAHLNBS_iqr
1,0.86017,0.86017,0.86017,110.566722,110.566722,110.566722,0.977672,0.977672,0.977672,0.10983,0.10983,0.10983,0.033507,0.033507,0.033507,0.0,0.0,0.0,0.0,0.0
2,0.817088,0.817088,0.817088,7.483315,7.483315,7.483315,0.980769,0.980769,0.980769,0.19173,0.19173,0.19173,0.017223,0.017223,0.017223,0.0,0.0,0.0,0.0,0.0
3,0.817835,0.817835,0.817835,130.330349,130.330349,130.330349,0.961634,0.961634,0.961634,0.158511,0.158511,0.158511,0.065455,0.065455,0.065455,0.0,0.0,0.0,0.0,0.0
