label,DICE_median,DICE_q1,DICE_q3,HDRFDST(0.95)_median,HDRFDST(0.95)_q1,HDRFDST(0.95)_q3,VOLSMTY_median,VOLSMTY_q1,VOLSMTY_q3,MUTINF_median,MUTINF_q1,MUTINF_q3,MAHLNBS_median,MAHLNBS_q1,MAHLNBS_q3,DICE_iqr,HDRFDST(0.95)_iqr,VOLSMTY_iqr,MUTINF_iqr,MAHLNBS_iqr
1,0.946909,0.946909,0.946909,12.4499,12.4499,12.4499,0.972935,0.972935,0.972935,0.133917,0.133917,0.133917,0.036691,0.036691,0.036691,0.0,0.0,0.0,0.0,0.0
2,0.917582,0.917582,0.917582,5.744563,5.744563,5.744563,0.973567,0.973567,0.973567,0.248498,0.248498,0.248498,0.008289,0.008289,0.008289,0.0,0.0,0.0,0.0,0.0
3,0.912989,0.912989,0.912989,6.708204,6.708204,6.708204,0.949465,0.949465,0.949465,0.198639,0.198639,0.198639,0.014071,0.014071,0.014071,0.0,0.0,0.0,0.0,0.0
