label,DICE_median,DICE_q1,DICE_q3,HDRFDST(0.95)_median,HDRFDST(0.95)_q1,HDRFDST(0.95)_q3,VOLSMTY_median,VOLSMTY_q1,VOLSMTY_q3,MUTINF_median,MUTINF_q1,MUTINF_q3,MAHLNBS_median,MAHLNBS_q1,MAHLNBS_q3,DICE_iqr,HDRFDST(0.95)_iqr,VOLSMTY_iqr,MUTINF_iqr,MAHLNBS_iqr
1,0.668435,0.628162,0.708708,40.948278,40.7040675,41.192488499999996,0.923926,0.9209305,0.9269215,0.0190085,0.01693775,0.02107925,0.5827535,0.45359875,0.71190825,0.080546,0.48842099999999533,0.005990999999999969,0.004141499999999999,0.2583095
2,0.0031695000000000004,0.00204075,0.00429825,51.5073265,51.15543475,51.85921825,0.053599,0.0517825,0.0554155,2.1000000000000002e-05,1.15e-05,3.0500000000000003e-05,0.2327975,0.20947625,0.25611875,0.0022575,0.7037835000000001,0.0036329999999999973,1.9e-05,0.0466425
3,0.0,0.0,0.0,42.8602365,42.85440375,42.866069249999995,0.322909,0.3018555,0.3439625,0.0,0.0,0.0,6.1637365,6.08661125,6.24086175,0.0,0.011665499999992335,0.042107000000000006,0.0,0.15425049999999985
4,0.0,0.0,0.0,39.829501,38.947617,40.711385,0.901957,0.860508,0.943406,0.0,0.0,0.0,5.862826,5.8032495,5.9224025000000005,0.0,1.763767999999999,0.08289799999999992,0.0,0.11915300000000073
5,0.007781000000000001,0.0065845,0.008977500000000001,37.548544500000006,37.159048750000004,37.93804025,0.41888749999999997,0.41466825,0.42310675,8e-06,6.5000000000000004e-06,9.5e-06,2.5953090000000003,2.5860295,2.6045885,0.002393000000000001,0.7789914999999965,0.00843849999999996,3e-06,0.018559000000000214
6,0.0040065,0.00200325,0.0060097499999999995,35.1390385,34.31018825,35.96788875,0.66022,0.649421,0.671019,2.5e-06,1.25e-06,3.7500000000000005e-06,2.6397275000000002,2.56459925,2.71485575,0.0040065,1.6577004999999971,0.021598000000000006,2.5000000000000006e-06,0.1502564999999998
7,0.022035,0.021859,0.022211,34.85834,34.169839,35.546841,0.7171894999999999,0.70578625,0.72859275,1.95e-05,1.925e-05,1.9750000000000002e-05,0.8355695000000001,0.83510625,0.83603275,0.0003520000000000016,1.3770019999999974,0.022806500000000063,5.00000000000002e-07,0.0009264999999999413
8,0.0,0.0,0.0,19.4935715,19.48074675,19.50639625,0.282082,0.26961250000000003,0.29455149999999997,0.0,0.0,0.0,2.369388,1.7861045,2.9526715,0.0,0.025649500000000103,0.024938999999999933,0.0,1.1665670000000001
9,0.0,0.0,0.0,30.1770575,29.59714675,30.75696825,0.775694,0.6743435,0.8770445,0.0,0.0,0.0,7.135816,6.8844840000000005,7.387148,0.0,1.1598214999999996,0.20270100000000002,0.0,0.5026639999999993
10,0.0,0.0,0.0,23.5692575,23.21922525,23.919289749999997,0.42038200000000003,0.400357,0.440407,0.0,0.0,0.0,8.4493905,8.33525575,8.56352525,0.0,0.7000644999999963,0.040049999999999975,0.0,0.22826949999999968
