label,DICE_median,DICE_q1,DICE_q3,HDRFDST(0.95)_median,HDRFDST(0.95)_q1,HDRFDST(0.95)_q3,VOLSMTY_median,VOLSMTY_q1,VOLSMTY_q3,MUTINF_median,MUTINF_q1,MUTINF_q3,MAHLNBS_median,MAHLNBS_q1,MAHLNBS_q3,DICE_iqr,HDRFDST(0.95)_iqr,VOLSMTY_iqr,MUTINF_iqr,MAHLNBS_iqr
1,0.4398395,0.21991975,0.65975925,24.005605,14.960842499999998,33.0503675,0.9940675,0.99189425,0.99624075,0.015578,0.0078,0.023356,2.109625,1.0607085,3.1585415,0.43983950000000005,18.089525000000002,0.004346500000000031,0.015555999999999999,2.097833
2,0.3622755,0.18113775,0.54341325,22.7484775,15.956814249999999,29.54014075,0.8648345,0.85357475,0.87609425,0.000551,0.0002755,0.0008265,2.205884,1.2239745,3.1877935,0.3622755,13.5833265,0.022519499999999915,0.0005510000000000001,1.9638190000000002
3,0.468489,0.2342445,0.7027335,14.538618000000001,8.6835225,20.3937135,0.984593,0.9792565,0.9899295,0.0032195,0.00160975,0.00482925,2.4384295,1.2855702500000001,3.59128875,0.46848900000000004,11.710191,0.010673000000000044,0.0032195,2.3057185
4,0.4506925,0.22534625,0.67603875,15.198425,10.0992125,20.2976375,0.9678154999999999,0.95277225,0.98285875,0.002258,0.001129,0.0033870000000000003,2.0472615,1.11984875,2.9746742499999996,0.45069250000000005,10.198425,0.030086500000000016,0.0022580000000000005,1.8548254999999996
5,0.383239,0.1916195,0.5748584999999999,16.6435975,10.12457425,23.16262075,0.971023,0.9629945,0.9790515,0.000501,0.0002505,0.0007515,3.9253539999999996,2.1528505,5.6978575,0.38323899999999994,13.038046499999998,0.016056999999999988,0.0005009999999999999,3.5450069999999996
6,0.4414695,0.22073475,0.66220425,22.409378,13.384138499999999,31.4346175,0.986703,0.9854835,0.9879225,0.001126,0.000563,0.001689,5.527789,2.8181675,8.2374105,0.44146950000000007,18.050479000000003,0.00243900000000008,0.0011259999999999998,5.419243
7,0.432284,0.216142,0.648426,16.553889,10.5130125,22.5947655,0.945595,0.930782,0.960408,0.000609,0.0003045,0.0009134999999999999,4.3182725,2.28421225,6.35233275,0.43228399999999995,12.081753,0.02962600000000004,0.000609,4.068120500000001
8,0.8025455,0.75548975,0.8496012500000001,5.153312,3.576656,6.7299679999999995,0.8795035,0.85420975,0.90479725,0.000213,0.0001765,0.0002495,0.4695265,0.30796575000000004,0.63108725,0.09411150000000013,3.1533119999999997,0.05058750000000001,7.299999999999999e-05,0.32312149999999995
9,0.9187514999999999,0.91294225,0.92456075,3.622583,2.5183985,4.7267675,0.9641255,0.95581775,0.9724332499999999,0.000315,0.0003105,0.0003195,0.1255395,0.11966125,0.13141775,0.011618500000000087,2.2083690000000002,0.016615499999999894,9.000000000000002e-06,0.011756500000000003
10,0.421735,0.2108675,0.6326025000000001,19.287986,11.705546,26.870426000000002,0.92239,0.905052,0.939728,0.000396,0.000198,0.0005939999999999999,5.541707,2.8361495,8.2472645,0.4217350000000001,15.164880000000002,0.03467600000000004,0.0003959999999999999,5.411115000000001
