label,DICE,DICE,HDRFDST(0.95),HDRFDST(0.95),VOLSMTY,VOLSMTY,MUTINF,MUTINF,MAHLNBS,MAHLNBS
,mean,std,mean,std,mean,std,mean,std,mean,std
1,0.4398395,0.6220269861674009,24.005605,25.58245159188716,0.9940675,0.006146879248854701,0.015578,0.021999506176275867,2.109625,2.9667838801938373
2,0.3622755,0.5123349254154942,22.7484775,19.209724558441863,0.8648345,0.03184738231786083,0.000551,0.0007792316728675754,2.205884,2.777259463845969
3,0.468489,0.6625434976226089,14.538618000000001,16.560710930179358,0.984593,0.015093901351208066,0.0032195,0.00455306056406018,2.4384295,3.2607783737145493
4,0.4506925,0.6373754459598361,15.198425,14.422750949844833,0.9678154999999999,0.04254873634433811,0.002258,0.003193294223838449,2.0472615,2.623119377935457
5,0.383239,0.5419817914303026,16.6435975,18.438582187151063,0.971023,0.02270802717102477,0.000501,0.0007085209947489206,3.9253539999999996,5.013396978107558
6,0.4414695,0.6243321542740691,22.409378,25.52723220913074,0.986703,0.003449266878627935,0.001126,0.0015924044712321052,5.527789,7.663966948395459
7,0.432284,0.611341895596891,16.553889,17.086178949841827,0.945595,0.04189749099886526,0.000609,0.0008612560594852147,4.3182725,5.753191184468016
8,0.8025455,0.13309375967527556,5.153312,4.459456596793829,0.8795035,0.07154152858654896,0.000213,0.00010323759005323595,0.4695265,0.45696280759433805
9,0.9187514999999999,0.01643104027443181,3.622583,3.1231053905243096,0.9641255,0.02349786544561017,0.000315,1.2727922061357858e-05,0.1255395,0.016626201746039296
10,0.421735,0.5964233567274173,19.287986,21.446378967760502,0.92239,0.04903926948884938,0.000396,0.0005600285706997457,5.541707,7.652472220560489
11,0.436556,0.6173834159353488,16.374088,20.706967306168664,0.9632645,0.044180738795316685,0.0002595,0.0003669884194358182,5.9649775,8.187320011675402
12,0.389655,0.5510553856464884,8.464193999999999,7.727537262237691,0.9594605,0.020693479951424343,0.0001525,0.000215667568261897,3.145217,3.9785575175495453
13,0.417208,0.5900212119305542,9.2029815,7.184028827266808,0.9596655000000001,0.03662742415868204,0.000521,0.0007368052659963825,1.9882840000000002,2.29931891937417
14,0.43889,0.6181527481132799,23.676073,24.997742166096877,0.9682625,0.00668286618899409,0.0152335,0.02153776544816105,2.114486,2.8972950825930726
15,0.385979,0.5458567365912049,22.1265805,15.99465144574287,0.9211389999999999,0.04079723284733906,0.000558,0.0007891311678041871,2.292176,2.7652881460404815
16,0.4703415,0.6651633282469052,13.915963000000001,14.989727551776518,0.9901515000000001,0.009996368565634151,0.0034115,0.0048245895680358135,2.4414089999999997,3.355211777235231
17,0.4718105,0.662679969231378,16.3907925,8.347684758580698,0.9788669999999999,0.004446287440101022,0.002078,0.0029359073554865453,1.9200469999999998,2.57766301850688
18,0.4287385,0.6063278014114972,15.731978,16.24837620807501,0.959906,0.03320290601739552,0.000722,0.0010210621920333745,3.8522255,5.033551642691719
19,0.4643,0.656619357009828,19.4562565,21.515301372829537,0.983974,0.0220900158442677,0.00092,0.0013010764773832475,5.8980345000000005,8.186646846019713
20,0.460039,0.6505933930205563,14.5902275,17.471419916620412,0.9662515,0.020160321438409665,0.0004135,0.0005847773080412749,4.3795295,6.0395397323637585
21,0.444917,0.6292076555303503,18.89553,23.8938876694815,0.9690135,0.04327422790183552,0.0004855,0.0006866006845321377,5.523521,7.627524079106666
22,0.42,0.5939696961966999,17.0318645,20.92441607641237,0.9375375,0.010136375708309149,0.0002505,0.0003542604973744603,6.110075500000001,8.10605081510007
23,0.36631,0.5180405700328885,8.0254805,7.885641388763536,0.900394,0.04254944345111927,0.000123,0.0001739482681718907,3.643727,4.343962017795506
24,0.45511949999999995,0.6370699758303635,9.0,5.656854249492381,0.9830525,0.0213411897629912,0.000456,0.0006434671708797583,1.861256,2.370391636164792
25,0.9325185,0.013299971447337786,3.6180339999999998,1.954395059938497,0.990744,0.00742603541602113,0.001381,0.0002517300141024109,0.1082965,0.047381104086966996
26,0.942213,0.0020237396077559602,2.8708285,1.2315374752010189,0.9872110000000001,0.01729583186782302,0.0014795,9.970205614730317e-05,0.082207,0.012952782017775178
27,0.9483779999999999,0.01028416102557711,2.1180339999999998,0.1669252836211457,0.98413,0.014293456474904879,0.0017545,0.00023122391744800105,0.090274,0.03800274684808982
28,0.9484515,0.026307907794045453,2.439158,1.4494897054729297,0.97694,0.013426543561170168,0.000892,5.6568542494923645e-06,0.081765,0.09431531668822409
29,0.10035,0.14191633098414008,21.802118999999998,14.708337236630452,0.781906,0.27047682908522863,3.05e-05,4.31335136523794e-05,2.4792495000000003,2.206050827828883
30,0.361917,0.5118279298533834,34.933679,44.713266569082506,0.9783715,0.009187438407956796,0.0002385,0.00033728993462598316,12.1179975,16.48782872713568
31,0.327459,0.45551394579968685,5.081139,2.7136792505087994,0.9795035,0.022667722084497157,0.00014000000000000001,0.00019657568516986021,1.7440565000000001,1.9954602862559054
32,0.3326645,0.47045864762006445,26.915789999999998,27.387597623520612,0.9611965,0.007548364889166387,0.000321,0.0004539625535217635,5.677995500000001,7.650918706962224
33,0.327474,0.4631181721245669,11.552605,8.722077293122322,0.9688300000000001,0.02192455285747004,0.0003285,0.00046456915523956173,1.9696765,2.143436522354814
34,0.1117425,0.15802775899347557,23.4600715,23.690718213577075,0.9355575,0.08028419682913943,2.25e-05,3.181980515339464e-05,10.662765499999999,12.509856694000954
35,0.2144755,0.3033141608967508,28.966496,27.926407333930513,0.929636,0.06301028527153327,0.000246,0.0003478965363437814,5.812762,6.915758878445662
36,0.393348,0.5562780763323322,28.828792999999997,32.52385864750002,0.972529,0.02209991533920432,0.00092,0.0013010764773832475,4.905476,6.533825050082685
37,0.3001545,0.42448256470731516,35.2769555,43.25589898696039,0.940441,0.037258870514281534,0.000419,0.0005925554826343269,10.410502999999999,14.28808104915429
38,0.256345,0.36252657564653107,10.597911999999999,8.506969753431122,0.843225,0.027150071970438748,0.000121,0.0001711198410471445,2.5072175000000003,2.1160120929532753
39,0.3144295,0.44467046331019106,24.426475999999997,18.85986580078029,0.9197945000000001,0.05684077860568061,0.0006815,0.0009637865427572644,2.3770510000000002,2.615699706480467
40,0.3563865,0.504006621746679,19.872086499999998,23.004355116923414,0.947716,0.05896139184245901,0.0004385,0.0006201326471006022,3.379416,4.567990416638152
41,0.345488,0.4818070043513274,14.7355675,13.628136168952544,0.984869,0.004432145304477238,0.000599,0.0008442854967367377,2.002438,2.3849566216436724
42,0.3420575,0.48374235561143497,6.9023565,5.070990118328421,0.9884120000000001,0.0057176654326744104,0.000363,0.0005133595231414335,2.1232159999999998,2.6965587811227105
43,0.3473275,0.49119526108514117,38.3050805,46.55579097227627,0.958752,0.04308543039125874,0.000556,0.0007863027406794409,11.558927,15.969532891554781
44,0.23092,0.3265701958231951,20.135346000000002,20.859906017657945,0.6496664999999999,0.2961836961152656,9.35e-05,0.00013222896808188437,7.1675635,8.596641499887296
45,0.319514,0.4518610321680771,9.4677345,5.2653596303409795,0.872385,0.06826833129643643,0.0003385,0.00047871129086329264,2.103887,2.157741999644999
