label,DICE_median,DICE_q1,DICE_q3,HDRFDST(0.95)_median,HDRFDST(0.95)_q1,HDRFDST(0.95)_q3,VOLSMTY_median,VOLSMTY_q1,VOLSMTY_q3,MUTINF_median,MUTINF_q1,MUTINF_q3,MAHLNBS_median,MAHLNBS_q1,MAHLNBS_q3,DICE_iqr,HDRFDST(0.95)_iqr,VOLSMTY_iqr,MUTINF_iqr,MAHLNBS_iqr
0,0.0,0.0,0.0,inf,,,0.0,0.0,0.0,0.0,0.0,0.0,inf,,,0.0,,0.0,0.0,
1,0.408108,0.231938,0.422348,32.997378999999995,24.91598625,41.644149999999996,0.6707645,0.43639150000000004,0.8546675,0.0015555,0.000237,0.0109095,0.6308609999999999,0.315067,1.15563475,0.19041,16.728163749999997,0.418276,0.010672500000000001,0.84056775
