DICE,HDRFDST(0.95),VOLSMTY,MUTINF,MAHLNBS,label,weight,id
0.0,inf,0.0,0.0,inf,0,1.0,1
0.054102,58.446557,0.055936,0.003085,0.746753,1,1.0,2
0.75989,12.569805,0.915262,0.032248,0.224853,1,1.0,3
0.026316,59.539903,0.270677,2.5e-05,1.963114,1,1.0,4
0.027795,49.769469,0.130514,4.3e-05,0.977269,1,1.0,5
0.051745,48.476799,0.080289,0.001502,0.928207,1,1.0,6
0.119593,57.628118,0.155216,0.000236,1.679476,1,1.0,7
0.821393,9.486833,0.865738,0.152327,0.146146,1,1.0,8
0.291863,23.790755,0.54041,0.003494,1.08471,1,1.0,9
