DICE,HDRFDST(0.95),VOLSMTY,MUTINF,MAHLNBS,id
,,,,,8
3-4-5-6-7-8-11-12-13-14-17-18-20-21-22-23-24-25,,,2-3-4-5-6-7-8-11-12-13-14-17-18-20-21-22-23-24-25,,15
