DICE,HDRFDST(0.95),VOLSMTY,MUTINF,MAHLNBS
0.4511135,26.065288499999998,0.990464,0.014534,2.1347080000000003
0.4488695,26.2985805,0.9872715,0.0172045,1.6010024999999999
0.379129,20.5258705,0.892978,0.0006035,2.2276480000000003
0.472469,14.1617625,0.985893,0.003274,2.4323675000000002
0.4564335,15.1787225,0.9682145,0.0022955,2.026074
0.3921225,17.1210025,0.9799990000000001,0.0005225,3.899673
0.4445105,22.728172,0.993011,0.001137,5.5427575
0.439899,16.553889,0.973506,0.000639,4.290045999999999
0.8005165000000001,5.2426405,0.8542635000000001,0.0002085,0.5013755
0.9107495000000001,17.0548895,0.955758,0.000304,0.13951449999999999
0.4343575,18.8767245,0.9515565,0.000397,5.368048
0.4445325,16.207107,0.972747,0.000254,6.0291845
0.4284155,8.082228,0.9975175000000001,0.0001805,3.0620890000000003
0.4349085,8.732051,0.942685,0.000556,1.9407569999999998
0.45191499999999996,25.6798445,0.9750475000000001,0.014308,2.1568855
0.45342350000000003,25.116057,0.9855115,0.0176635,1.600921
0.3967535,22.297673,0.9072065,0.000583,2.1834355
0.478402,13.7576505,0.986516,0.0034725,2.4193715
0.47947,13.108187,0.988086,0.002156,1.8898205
0.4421105,15.3427085,0.9562255,0.0007415,3.797285
0.470863,19.968957500000002,0.9773080000000001,0.0009385,6.005643
0.471733,14.4721935,0.9422330000000001,0.0004495,4.3100404999999995
0.4591995,18.5,0.969157,0.0005095,5.4205715
0.4377845,17.0318645,0.9470675,0.000259,6.135127499999999
0.379571,8.214949,0.945322,0.0001355,3.6251415
0.461026,8.561553,0.9814995,0.0004665,1.8451215
0.9468785,2.236068,0.9918659999999999,0.0014104999999999999,0.07338549999999999
0.95331,1.414214,0.99305,0.0014985,0.0657635
0.958118,2.6389585,0.9890975,0.00175,0.06814500000000001
0.9651125,2.76866,0.9908965000000001,0.000923,0.0376135
