DICE,HDRFDST(0.95),VOLSMTY,MUTINF,MAHLNBS,label,weight,id
0.0,inf,0.0,0.0,inf,0,1.0,1
0.271617,37.854986,0.743642,0.001058,0.407698,1,1.0,2
0.672225,17.748239,0.721014,0.024806,0.033533,1,1.0,3
0.477941,35.02856,0.941176,0.000205,0.525794,1,1.0,4
0.007092,54.230987,0.765957,2e-06,2.889367,1,1.0,5
0.336989,38.405729,0.570243,0.00225,0.43606,1,1.0,6
0.518135,24.879711,0.735751,0.000169,1.031649,1,1.0,7
0.907801,7.071068,0.93714,0.191546,0.045747,1,1.0,8
0.21679,27.856777,0.519992,0.001068,0.671092,1,1.0,9
