label,DICE_median,DICE_q1,DICE_q3,HDRFDST(0.95)_median,HDRFDST(0.95)_q1,HDRFDST(0.95)_q3,VOLSMTY_median,VOLSMTY_q1,VOLSMTY_q3,MUTINF_median,MUTINF_q1,MUTINF_q3,MAHLNBS_median,MAHLNBS_q1,MAHLNBS_q3,DICE_iqr,HDRFDST(0.95)_iqr,VOLSMTY_iqr,MUTINF_iqr,MAHLNBS_iqr
1,0.4462965,0.22319175000000002,0.66940125,26.190476500000003,16.44934025,35.93161275,0.9942074999999999,0.99260125,0.9958137499999999,0.014308000000000001,0.0071615,0.0214545,2.122382,1.0726415,3.1721225,0.4462094999999999,19.4822725,0.0032124999999999515,0.014293,2.099481
2,0.444867,0.22426500000000002,0.6654690000000001,26.049575,16.1069945,35.9921555,0.987859,0.985885,0.989833,0.016886,0.008443,0.025329000000000004,1.608346,0.8109320000000001,2.40576,0.44120400000000004,19.885161000000004,0.0039479999999999515,0.016886000000000005,1.5948279999999997
3,0.3853965,0.19269825,0.57809475,20.5286645,12.81384225,28.24348675,0.8810645,0.87960375,0.88252525,0.0006125,0.00030625,0.00091875,2.1801665,1.17064425,3.18968875,0.38539650000000003,15.429644499999998,0.0029215000000000213,0.0006125,2.0190445
4,0.471851,0.2359255,0.7077765,13.9535315,8.09479975,19.81226325,0.9822489999999999,0.9813605,0.9831375,0.0032765,0.00163825,0.00491475,2.438968,1.2667194999999998,3.6112165,0.471851,11.717463500000001,0.0017770000000000286,0.0032765,2.344497
5,0.454232,0.227116,0.6813480000000001,15.198425,10.0992125,20.2976375,0.9667705,0.95209075,0.98145025,0.002273,0.0011365,0.0034094999999999998,2.0211715,1.08470175,2.95764125,0.4542320000000001,10.198425,0.029359499999999983,0.002273,1.8729395
6,0.3986985,0.19934925,0.59804775,17.813834500000002,11.77919875,23.848470250000002,0.975786,0.969703,0.9818690000000001,0.0005315,0.00026575,0.00079725,3.898249,2.1064695,5.6900285,0.39869849999999996,12.069271500000001,0.012166000000000121,0.0005315000000000001,3.583559
7,0.4374075,0.21870375,0.65611125,22.877684,13.938842,31.816525999999996,0.9897499999999999,0.9862489999999999,0.993251,0.0011185,0.00055925,0.00167775,5.6018855,2.8841682499999997,8.31960275,0.43740750000000006,17.877683999999995,0.007002000000000064,0.0011185000000000001,5.4354344999999995
8,0.423922,0.211961,0.635883,29.2928,28.964221000000002,29.621378999999997,0.974845,0.9653084999999999,0.9843815,0.0006105,0.00030525,0.0009157500000000001,4.311543,2.3357995000000003,6.2872865000000004,0.42392199999999997,0.6571579999999955,0.019073000000000118,0.0006105000000000001,3.951487
9,0.815434,0.771783,0.859085,4.6742345,3.33711725,6.011351749999999,0.8905775,0.87082075,0.91033425,0.0002175,0.00018225,0.00025275,0.44126750000000003,0.28898175000000004,0.59355325,0.08730199999999999,2.6742344999999994,0.03951349999999998,7.049999999999998e-05,0.3045715
10,0.9131985,0.9027317499999999,0.92366525,3.460813,2.9551515,3.9664745,0.955454,0.937672,0.973236,0.0003075,0.00030625,0.00030875,0.140451,0.136409,0.144493,0.02093350000000005,1.011323,0.03556400000000004,2.5000000000000066e-06,0.008084000000000008
11,0.434325,0.2171625,0.6514875,19.331469,11.7272875,26.935650499999998,0.939602,0.9197005,0.9595035,0.0004035,0.00020175,0.00060525,5.499280499999999,2.7898472500000002,8.20871375,0.43432499999999996,15.208362999999999,0.03980299999999992,0.0004035,5.418866499999999
