label,DICE_median,DICE_q1,DICE_q3,HDRFDST(0.95)_median,HDRFDST(0.95)_q1,HDRFDST(0.95)_q3,VOLSMTY_median,VOLSMTY_q1,VOLSMTY_q3,MUTINF_median,MUTINF_q1,MUTINF_q3,MAHLNBS_median,MAHLNBS_q1,MAHLNBS_q3,DICE_iqr,HDRFDST(0.95)_iqr,VOLSMTY_iqr,MUTINF_iqr,MAHLNBS_iqr
1,0.6980109999999999,0.656763,0.739259,45.2756315,45.10445775,45.44680525,0.9934324999999999,0.99049075,0.99637425,0.0190365,0.01697775,0.02109525,0.5772945,0.45184975,0.70273925,0.08249600000000001,0.34234749999999536,0.0058835000000000415,0.0041175,0.25088950000000004
2,0.6592895,0.62481875,0.69376025,44.4728635,44.065311750000006,44.88041525,0.988868,0.9881709999999999,0.989565,0.020953,0.019021999999999997,0.022884,0.5677565,0.46579925,0.66971375,0.06894149999999999,0.8151034999999922,0.0013940000000001174,0.0038620000000000043,0.2039145
3,0.4698505,0.38604775,0.55365325,26.434922,21.6732285,31.1966155,0.8828590000000001,0.860558,0.90516,0.000631,0.000481,0.000781,1.202902,0.8473295000000001,1.5584745,0.16760549999999996,9.523387,0.04460199999999992,0.00030000000000000003,0.7111449999999999
4,0.5665225,0.39770275,0.73534225,24.3879955,23.834444249999997,24.94154675,0.9877925,0.9823457499999999,0.99323925,0.0035005,0.00213575,0.00486525,1.1661215,0.68482225,1.64742075,0.3376395,1.1071025000000034,0.010893500000000111,0.0027294999999999997,0.9625985
5,0.510921,0.455799,0.566043,23.841797,23.710724499999998,23.9728695,0.9649215,0.95991925,0.96992375,0.002071,0.0017815,0.0023605,1.1914850000000001,1.006941,1.376029,0.11024399999999995,0.26214500000000385,0.010004499999999972,0.0005790000000000001,0.36908799999999986
6,0.688828,0.6776475,0.7000085,29.8832945,28.561485750000003,31.20510325,0.9596935,0.95623625,0.96315075,0.00088,0.000858,0.000902,0.696025,0.6425445000000001,0.7495054999999999,0.022361000000000075,2.6436174999999977,0.006914500000000046,4.3999999999999985e-05,0.10696099999999986
7,0.7145085,0.69399525,0.73502175,39.519839000000005,38.627882,40.411796,0.9787969999999999,0.9740814999999999,0.9835125,0.001649,0.0015795000000000002,0.0017185,0.631274,0.5537415,0.7088065,0.04102650000000008,1.7839140000000029,0.009431000000000078,0.0001389999999999998,0.155065
8,0.7882745,0.77804175,0.79850725,27.587359,27.2565915,27.9181265,0.9396340000000001,0.9371835000000001,0.9420845,0.0011085000000000001,0.00109975,0.00111725,0.4443825,0.42290174999999997,0.46586325,0.020465500000000025,0.6615350000000007,0.004900999999999933,1.7499999999999937e-05,0.04296150000000004
9,0.7759830000000001,0.7304915000000001,0.8214745,4.7922685,3.51416825,6.07036875,0.8663415000000001,0.82567075,0.9070122500000001,0.000203,0.00016649999999999998,0.0002395,0.46438100000000004,0.2933475,0.6354145,0.09098299999999993,2.5562005,0.08134150000000007,7.300000000000001e-05,0.342067
10,0.88718,0.8767825,0.8975774999999999,5.9568575,5.89390475,6.01981025,0.942402,0.9212715,0.9635324999999999,0.00029049999999999996,0.00028875,0.00029225,0.2193735,0.19108875,0.24765825,0.020794999999999897,0.1259055,0.04226099999999988,3.4999999999999767e-06,0.056569499999999995
11,0.631298,0.6249435000000001,0.6376525,32.7376645,32.077110250000004,33.39821875,0.9513445,0.94848375,0.95420525,0.0005835,0.00057175,0.00059525,0.850075,0.809204,0.890946,0.01270899999999986,1.321108499999994,0.005721500000000046,2.3499999999999975e-05,0.08174199999999998
12,0.767424,0.7456525,0.7891954999999999,16.4225445,9.62548575,23.21960325,0.938636,0.9144840000000001,0.962788,0.0004135,0.00037425,0.00045275000000000003,0.4702285,0.42479225,0.51566475,0.04354299999999989,13.5941175,0.0483039999999999,7.850000000000001e-05,0.09087250000000002
13,0.760465,0.7406975,0.7802325,3.535534,3.1819805,3.8890875,0.8620225,0.83798775,0.88605725,0.0002295,0.00021825,0.00024075,0.443401,0.41181,0.47499199999999997,0.03953499999999999,0.7071070000000002,0.04806949999999999,2.2500000000000005e-05,0.06318199999999996
14,0.7801015,0.77927825,0.7809247500000001,19.0534695,14.52673475,23.58020425,0.9289945,0.91994275,0.93804625,0.000851,0.000797,0.000905,0.2944745,0.24934875,0.33960025,0.0016465000000001062,9.053469500000002,0.01810349999999994,0.00010800000000000002,0.09025149999999998
15,0.6931780000000001,0.651617,0.734739,44.938596,44.8634935,45.0136985,0.9718629999999999,0.9712815,0.9724444999999999,0.018643,0.01676,0.020526,0.5805525,0.45105025,0.7100547500000001,0.08312200000000003,0.1502049999999997,0.001162999999999914,0.0037659999999999985,0.2590045000000001
16,0.6608025,0.62615025,0.6954547499999999,43.150002,43.010952,43.289052,0.9890845,0.98462625,0.99354275,0.021467,0.0194215,0.0235125,0.5750055,0.47765025,0.67236075,0.06930449999999988,0.2780999999999949,0.008916499999999994,0.004090999999999997,0.19471049999999995
17,0.587763,0.5442855,0.6312405000000001,25.006556,21.5724565,28.4406555,0.9188015,0.91805125,0.91955175,0.000798,0.0007205,0.0008755,0.8557475,0.6632852499999999,1.04820975,0.08695500000000012,6.868198999999997,0.0015005000000000157,0.00015499999999999997,0.3849245000000001
18,0.561341,0.388418,0.734264,23.3218655,22.44286225,24.20086875,0.9764855,0.97205825,0.98091275,0.0035355,0.00210975,0.00496125,1.1858035,0.67657375,1.69503325,0.34584600000000004,1.7580065000000005,0.008854499999999987,0.0028515000000000003,1.0184595
19,0.5705625,0.5245552499999999,0.61656975,22.4017035,21.99436825,22.80903875,0.9555910000000001,0.9441825,0.9669995,0.0021375,0.0018877499999999999,0.00238725,0.9764145,0.83283675,1.1199922500000001,0.09201450000000011,0.8146704999999983,0.022816999999999976,0.0004995000000000002,0.2871555000000001
20,0.7268985,0.70188975,0.75190725,26.6957465,26.40543825,26.98605475,0.921754,0.909304,0.934204,0.001075,0.0009995,0.0011505,0.634644,0.493017,0.7762709999999999,0.05001750000000005,0.5806165000000014,0.024900000000000033,0.0001510000000000001,0.28325399999999995
21,0.800667,0.777853,0.823481,36.147786499999995,35.85731225,36.43826075,0.965957,0.9523035,0.9796105,0.0014475,0.00137025,0.00152475,0.40857299999999996,0.343416,0.47373,0.045628,0.5809484999999981,0.02730700000000008,0.00015450000000000012,0.13031399999999999
22,0.7878045,0.78104275,0.79456625,26.148668,25.9000895,26.397246499999998,0.9730380000000001,0.9635875,0.9824885,0.0007025,0.00070175,0.00070325,0.41850750000000003,0.38321625,0.45379875000000003,0.013523500000000022,0.49715699999999785,0.018900999999999946,1.4999999999999823e-06,0.07058250000000005
23,0.605722,0.5744605,0.6369834999999999,33.433638,32.887780500000005,33.9794955,0.9587535,0.94858375,0.96892325,0.0005565,0.00050725,0.00060575,0.9685865,0.84495675,1.0922162499999999,0.06252299999999988,1.0917149999999936,0.020339500000000066,9.849999999999995e-05,0.24725949999999985
24,0.7178405,0.71198575,0.72369525,16.2955935,9.80610925,22.78507775,0.930016,0.9277935,0.9322385,0.000355,0.00032300000000000004,0.000387,0.676205,0.6513895,0.7010205,0.01170950000000004,12.978968499999999,0.004444999999999921,6.399999999999993e-05,0.04963100000000009
25,0.6893815,0.66217125,0.71659175,3.5,3.25,3.75,0.9590015000000001,0.95264125,0.96536175,0.0001915,0.00018025,0.00020275,0.581608,0.5486725,0.6145435,0.05442049999999998,0.5,0.012720500000000023,2.2500000000000005e-05,0.06587100000000001
26,0.7827815,0.77353375,0.79202925,11.21695,10.8046275,11.629272499999999,0.9335735000000001,0.91831725,0.94882975,0.0007195,0.00066975,0.00076925,0.2221725,0.16931825,0.27502675,0.018495499999999998,0.8246449999999985,0.030512500000000053,9.949999999999998e-05,0.10570849999999998
27,0.909789,0.9063699999999999,0.913208,4.6225205,3.89239925,5.35264175,0.9564239999999999,0.9435515,0.9692965,0.001311,0.0011925,0.0014295,0.12724000000000002,0.110345,0.144135,0.006838000000000122,1.4602425,0.025745000000000018,0.00023700000000000001,0.033790000000000014
28,0.8974854999999999,0.88510625,0.90986475,4.7541355,4.43862075,5.06965025,0.9207325,0.90644325,0.93502175,0.0014775,0.0014472500000000002,0.00150775,0.1362565,0.12347125,0.14904175,0.024758500000000017,0.6310294999999995,0.02857849999999995,6.049999999999979e-05,0.025570499999999996
