label,DICE,HDRFDST(0.95),VOLSMTY,MUTINF,MAHLNBS
1,0.6980109999999999,45.2756315,0.9934324999999999,0.0190365,0.5772945
2,0.6592895,44.4728635,0.988868,0.020953,0.5677565
3,0.4698505,26.434922,0.8828590000000001,0.000631,1.202902
4,0.5665225,24.3879955,0.9877925,0.0035005,1.1661215
5,0.510921,23.841797,0.9649215,0.002071,1.1914850000000001
6,0.688828,29.8832945,0.9596935,0.00088,0.696025
7,0.7145085,39.519839000000005,0.9787969999999999,0.001649,0.631274
8,0.7882745,27.587359,0.9396340000000001,0.0011085000000000001,0.4443825
9,0.7759830000000001,4.7922685,0.8663415000000001,0.000203,0.46438100000000004
10,0.88718,5.9568575,0.942402,0.00029049999999999996,0.2193735
11,0.631298,32.7376645,0.9513445,0.0005835,0.850075
12,0.767424,16.4225445,0.938636,0.0004135,0.4702285
13,0.760465,3.535534,0.8620225,0.0002295,0.443401
14,0.7801015,19.0534695,0.9289945,0.000851,0.2944745
15,0.6931780000000001,44.938596,0.9718629999999999,0.018643,0.5805525
16,0.6608025,43.150002,0.9890845,0.021467,0.5750055
17,0.587763,25.006556,0.9188015,0.000798,0.8557475
18,0.561341,23.3218655,0.9764855,0.0035355,1.1858035
19,0.5705625,22.4017035,0.9555910000000001,0.0021375,0.9764145
20,0.7268985,26.6957465,0.921754,0.001075,0.634644
21,0.800667,36.147786499999995,0.965957,0.0014475,0.40857299999999996
22,0.7878045,26.148668,0.9730380000000001,0.0007025,0.41850750000000003
23,0.605722,33.433638,0.9587535,0.0005565,0.9685865
24,0.7178405,16.2955935,0.930016,0.000355,0.676205
25,0.6893815,3.5,0.9590015000000001,0.0001915,0.581608
26,0.7827815,11.21695,0.9335735000000001,0.0007195,0.2221725
27,0.909789,4.6225205,0.9564239999999999,0.001311,0.12724000000000002
28,0.8974854999999999,4.7541355,0.9207325,0.0014775,0.1362565
29,0.9196759999999999,3.845208,0.989481,0.0016805000000000001,0.12584900000000002
30,0.9273935,3.5348265000000003,0.9945729999999999,0.000874,0.106893
