DICE,HDRFDST(0.95),VOLSMTY,MUTINF,MAHLNBS,id
3-4-5-6-7-8-9-10-11-12-13-14-17-18-19-20-21-22-23-24-25-26-27-28-29-30,,,3-5-6-7-8-9-10-11-12-13-14-17-19-20-21-22-23-24-25-26-27-28-29-30,,8
3-4-5-6-7-8-9-10-11-12-13-14-17-18-19-20-21-22-23-24-25-26-27-28-29-30,5-6-9-10-11-12-14-19-23-24,5-6-9-10-11-12-14-19-23-24,3-4-5-6-7-8-9-10-11-12-13-14-17-18-19-20-21-22-23-24-25-26-27-28-29-30,5-6-9-10-11-12-14-19-23-24,15
