label,DICE_median,DICE_q1,DICE_q3,HDRFDST(0.95)_median,HDRFDST(0.95)_q1,HDRFDST(0.95)_q3,VOLSMTY_median,VOLSMTY_q1,VOLSMTY_q3,MUTINF_median,MUTINF_q1,MUTINF_q3,MAHLNBS_median,MAHLNBS_q1,MAHLNBS_q3,DICE_iqr,HDRFDST(0.95)_iqr,VOLSMTY_iqr,MUTINF_iqr,MAHLNBS_iqr
1,0.099591,0.087212,0.11197,65.1993885,65.09969425,65.29908275,0.8373985,0.7965802500000001,0.87821675,0.00143,0.0012005,0.0016595,2.9075485,2.76653475,3.0485622500000003,0.024758000000000002,0.19938849999999775,0.08163649999999989,0.000459,0.2820275000000003
2,0.0714605,0.05445525,0.08846575,65.6888535,65.34442675,66.03328025,0.8140035,0.72956175,0.89844525,0.0009355,0.00061375,0.0012572500000000001,2.617526,2.5391285,2.6959235,0.0340105,0.6888535000000076,0.16888349999999996,0.0006435000000000001,0.15679500000000024
3,0.0,0.0,0.0,64.5859405,63.34534525,65.82653575,0.400215,0.3575025,0.44292750000000003,0.0,0.0,0.0,7.7095915,7.40272525,8.016457749999999,0.0,2.481190500000004,0.08542500000000003,0.0,0.6137324999999993
4,0.0,0.0,0.0,72.5620875,68.31227875,76.81189625,0.8599574999999999,0.79061975,0.92929525,5e-07,2.5e-07,7.5e-07,8.919007,8.609717999999999,9.228296,0.0,8.4996175,0.13867550000000006,5.000000000000001e-07,0.6185780000000012
5,0.0,0.0,0.0,inf,inf,,0.46789,0.233945,0.701835,0.0,0.0,0.0,inf,inf,,0.0,,0.46789000000000003,0.0,
6,0.0,0.0,0.0,inf,inf,,0.2875155,0.14375775,0.43127324999999994,0.0,0.0,0.0,inf,inf,,0.0,,0.2875154999999999,0.0,
7,0.0,0.0,0.0,70.096395,68.55565949999999,71.6371305,0.36231,0.21302149999999997,0.5115985000000001,0.0,0.0,0.0,13.8051395,13.80135325,13.80892575,0.0,3.0814710000000076,0.2985770000000001,0.0,0.007572500000000204
8,0.0,0.0,0.0,69.1006165,68.08760075000001,70.11363225,0.2559925,0.13599175,0.37599325,0.0,0.0,0.0,19.530352,19.4581865,19.6025175,0.0,2.0260314999999878,0.2400015,0.0,0.1443310000000011
9,0.0,0.0,0.0,inf,inf,,0.2429905,0.12149525,0.36448575,0.0,0.0,0.0,inf,inf,,0.0,,0.2429905,0.0,
10,0.0,0.0,0.0,inf,inf,,0.3900155,0.19500775,0.58502325,0.0,0.0,0.0,inf,inf,,0.0,,0.39001549999999996,0.0,
11,0.0,0.0,0.0,inf,inf,,0.4335625,0.21678125,0.65034375,0.0,0.0,0.0,inf,inf,,0.0,,0.43356249999999996,0.0,
12,0.0,0.0,0.0,inf,inf,,0.4975805,0.24879025,0.74637075,0.0,0.0,0.0,inf,inf,,0.0,,0.4975805,0.0,
