DICE,HDRFDST(0.95),VOLSMTY,MUTINF,MAHLNBS,label,weight,id
0.816396,28.600699,0.907178,0.027985,0.123855,1,0.23556848,15
0.630478,29.427878,0.946565,0.000819,0.420971,2,0.006715183,15
0.8404,16.763055,0.9468,0.003937,0.322223,3,0.026010072,15
0.85253,25.96151,0.907427,0.00386,0.089825,4,0.025609972,15
0.681721,10.049876,0.923406,0.000845,0.53965,5,0.0063583376,15
0.666235,8.124038,0.967303,0.001433,0.474502,6,0.011498354,15
0.805202,5.09902,0.941208,0.001166,0.299574,7,0.0062610162,15
0.681351,9.0,0.966226,0.000207,0.337856,8,0.0012687839,15
0.616959,10.0,0.967836,0.000184,0.948507,9,0.0011930894,15
0.355467,83.761566,0.635047,0.000255,1.182892,10,0.004927351,15
0.229462,47.717921,0.461756,6.3e-05,1.458844,11,0.0019572433,15
0.472119,8.774964,0.895911,0.000108,1.243768,12,0.0010705364,15
0.721325,7.141428,0.952381,0.000692,0.491091,13,0.0045596925,15
0.826031,13.674794,0.994999,0.026586,0.021255,14,0.23989388,15
0.766826,25.980762,0.989161,0.001163,0.382298,15,0.007227022,15
0.889637,15.588457,0.991871,0.004253,0.121489,16,0.024809772,15
0.848544,12.247449,0.969816,0.003348,0.250504,17,0.019630106,15
0.689153,15.652476,0.912035,0.000956,0.436249,18,0.007266672,15
0.73878,8.485281,0.886039,0.001328,0.381143,19,0.0077208388,15
0.729356,9.0,0.987112,0.000617,0.438487,20,0.0038243744,15
0.526843,19.0,0.909918,0.000431,0.947538,21,0.0043181907,15
0.299451,23.958297,0.615385,8.5e-05,1.187738,22,0.001816668,15
0.0,inf,0.0,0.0,inf,23,0.00091914745,15
0.709981,8.062258,0.987759,0.000604,0.242785,24,0.0038748374,15
0.768238,12.083046,0.843996,0.001074,0.366294,25,0.0054211677,15
0.812802,11.489125,0.918478,0.001074,0.298265,26,0.0064556594,15
0.772785,23.790755,0.98096,0.001168,0.223285,27,0.007234231,15
