DICE,HDRFDST(0.95),VOLSMTY,MUTINF,MAHLNBS,id
23-29-33-34-48-60-61-62-89-97,23-33-60-61-62-97,23-33-60-61-62-97,23-29-33-34-48-60-61-62-89-97,23-33-60-61-62-97,8
23-29-33-34-44-60-61-62-64-66-69-95-97,23-33-60-61-62-64-97,23-33-60-61-62-64-97,23-29-33-34-44-54-60-61-62-64-66-69-73-95-97,23-33-60-61-62-64-97,15
