label,DICE,DICE,HDRFDST(0.95),HDRFDST(0.95),VOLSMTY,VOLSMTY,MUTINF,MUTINF,MAHLNBS,MAHLNBS
,mean,std,mean,std,mean,std,mean,std,mean,std
1,0.8145955,0.002546291519052733,20.9711815,10.78976712286287,0.920544,0.018902378474678773,0.028666499999999998,0.0009637865427572652,0.088615,0.049836885938027875
2,0.593417,0.05241216883510929,27.1034505,3.2872368952529896,0.804502,0.20090742131140904,0.0007665,7.42462120245875e-05,0.44986899999999996,0.04086794352545773
3,0.8834445,0.060874115685568705,9.795741000000001,9.853269952111939,0.9591575,0.017476144097025553,0.005285,0.001906359882078932,0.189641,0.1874992625265497
4,0.8508685,0.0023497158338828725,23.808959,3.0441668178997703,0.9224749999999999,0.021281085686590383,0.003895,4.949747468305861e-05,0.161035,0.10070614777658811
5,0.5972345,0.11948195413743452,7.8972195,3.044316017430598,0.8413065,0.11610622636404991,0.0006865,0.00022415284963613557,0.45432399999999995,0.12066918642304666
6,0.6909885,0.03500673541620239,7.7362535,0.54841009917807,0.933539,0.0477495067199652,0.001658,0.0003181980515339463,0.3154075,0.22499359959896634
7,0.7740745,0.04402093266276848,5.377937,0.39444820417641635,0.8942105,0.06646450189762958,0.0012055,5.5861435713737306e-05,0.3270115,0.0388024846176118
8,0.48954300000000006,0.27125747497165864,11.226811999999999,3.149187731255157,0.696705,0.38116025354435895,0.000124,0.00011737972567696688,0.574944,0.33529306507591233
9,0.635136,0.025706159923255745,12.7620875,3.9061816029611958,0.8814525,0.12216471726525623,0.000187,4.242640687119302e-06,0.6756475,0.3858816055223415
10,0.429969,0.10536173882392035,89.3702555,7.931884758039569,0.7161820000000001,0.11474221738314104,0.0003735,0.00016758430714121177,0.9854385000000001,0.27924141763803595
11,0.2683835,0.055043313167904416,49.940563,3.1432904607000616,0.4538,0.011251483102240311,8.099999999999999e-05,2.5455844122715712e-05,1.132782,0.46112130257449613
12,0.3699285,0.1445191910456878,7.887482,1.2550890807619997,0.8334975,0.08826601817517318,9.15e-05,2.3334523779156075e-05,1.4247049999999999,0.25588355933510076
13,0.7311455,0.013888284289284993,7.411287,0.3816382577284412,0.974824,0.031739194980339364,0.0008175000000000001,0.0001774838020778234,0.3911295,0.14136690901515817
14,0.8254135,0.0008732768747654156,13.674794,0.0,0.996649,0.002333452377915664,0.027478,0.0012614784976368015,0.027355499999999998,0.008627409837257068
15,0.5316065,0.3326506070346182,27.6702995,2.3893668466379334,0.6573899999999999,0.46919504780208404,0.000719,0.0006279108216936542,0.484033,0.14387501676802678
