label,DICE_median,DICE_q1,DICE_q3,HDRFDST(0.95)_median,HDRFDST(0.95)_q1,HDRFDST(0.95)_q3,VOLSMTY_median,VOLSMTY_q1,VOLSMTY_q3,MUTINF_median,MUTINF_q1,MUTINF_q3,MAHLNBS_median,MAHLNBS_q1,MAHLNBS_q3,DICE_iqr,HDRFDST(0.95)_iqr,VOLSMTY_iqr,MUTINF_iqr,MAHLNBS_iqr
1,0.919928,0.919928,0.919928,13.190906,13.190906,13.190906,0.985939,0.985939,0.985939,0.124403,0.124403,0.124403,0.026833,0.026833,0.026833,0.0,0.0,0.0,0.0,0.0
2,0.896181,0.896181,0.896181,6.403124,6.403124,6.403124,0.977169,0.977169,0.977169,0.234608,0.234608,0.234608,0.010364,0.010364,0.010364,0.0,0.0,0.0,0.0,0.0
3,0.8985,0.8985,0.8985,6.708204,6.708204,6.708204,0.962054,0.962054,0.962054,0.192632,0.192632,0.192632,0.005678,0.005678,0.005678,0.0,0.0,0.0,0.0,0.0
