DICE,HDRFDST(0.95),VOLSMTY,MUTINF,MAHLNBS,label,weight,id
0.791669,24.103942,0.964691,0.021184,0.137005,1,0.18114342,15
0.778311,9.899495,0.986182,0.025141,0.162518,2,0.22598389,15
0.462401,20.223748,0.771108,0.000494,0.547988,3,0.0059372997,15
0.68956,30.479501,0.951621,0.003276,0.87418,4,0.023006639,15
0.749019,108.19427,0.947641,0.003311,0.45669,5,0.022643326,15
0.468903,30.364453,0.851189,0.000505,0.997285,6,0.0056217914,15
0.489903,20.024984,0.889276,0.000917,1.038636,7,0.010166391,15
0.54918,104.694795,0.705663,0.000554,0.746076,8,0.005535743,15
0.0,inf,0.0,0.0,inf,9,0.0011218087,15
0.0,inf,0.0,0.0,inf,10,0.0010548825,15
0.287351,47.717921,0.694988,0.000204,1.462579,11,0.0043565696,15
0.030457,114.546934,0.162437,6e-06,3.319631,12,0.0017305174,15
0.0,28.142495,0.283237,0.0,4.351108,13,0.00094652607,15
0.475228,22.226111,0.783069,0.000366,0.3609,14,0.0040315,15
0.806319,18.466185,0.993839,0.023041,0.089678,15,0.18635409,15
0.748206,23.874673,0.947115,0.023192,0.169853,16,0.22822751,15
0.559357,22.090722,0.806903,0.000681,0.492411,17,0.0063898475,15
0.696257,26.70206,0.760627,0.003985,0.733511,18,0.021954942,15
0.717797,27.386128,0.847231,0.003027,0.33584,19,0.017356165,15
0.459574,14.56022,0.680196,0.000501,0.577368,20,0.0064249043,15
0.564607,18.35756,0.796629,0.000726,0.533461,21,0.006826461,15
0.108787,16.881943,0.520223,4.9e-05,1.644192,22,0.0033813608,15
0.410337,49.203658,0.938136,0.000364,0.919844,23,0.003817974,15
0.374564,25.019992,0.878049,0.000162,0.921882,24,0.0016062261,15
0.0,inf,0.0,0.0,inf,25,0.0008126739,15
0.191052,15.652476,0.700121,0.000103,1.244584,26,0.0034259781,15
0.605356,27.495454,0.940099,0.000641,0.955294,27,0.0047931825,15
0.39903,24.124676,0.759266,0.000397,0.866374,28,0.005707839,15
0.289527,53.272882,0.835509,0.000313,0.369998,29,0.0063962215,15
0.119454,23.958297,0.262799,5e-05,1.917252,30,0.0032443216,15
0.785668,19.33908,0.946547,0.022479,0.081211,1,0.17985474,8
0.802759,7.483315,0.948856,0.029908,0.0555,2,0.220679,8
0.418915,17.492856,0.527452,0.000477,0.433639,3,0.006628799,8
0.861259,52.962251,0.940569,0.005521,0.068498,4,0.029312434,8
0.71198,111.467484,0.899622,0.003567,0.6815,5,0.020383555,8
0.488359,14.866069,0.971175,0.000607,0.703612,6,0.005005886,8
0.569755,31.76476,0.904686,0.001397,0.505698,7,0.009708905,8
0.634476,102.528045,0.875671,0.000982,0.336876,8,0.005363041,8
0.0,inf,0.0,0.0,inf,9,0.00069430954,8
0.0,inf,0.0,0.0,inf,10,0.0011171811,8
0.326087,25.729361,0.942688,0.000226,0.32493,11,0.0030572477,8
0.051157,110.819673,0.496955,1.3e-05,2.918967,12,0.0017629176,8
0.0,26.286879,0.156627,0.0,4.605915,13,0.0013114735,8
0.493071,25.179357,0.802334,0.000488,1.140913,14,0.0046915896,8
0.788344,6.708204,0.918782,0.022106,0.069635,15,0.17900328,8
0.803147,20.0,0.947213,0.030962,0.026742,16,0.2296393,8
0.12359,17.492856,0.139829,0.000102,0.830479,17,0.0058916304,8
0.892812,19.209373,0.936109,0.006719,0.098288,18,0.03045533,8
0.680556,28.442925,0.916965,0.002897,0.527268,19,0.01754346,8
0.469353,14.247807,0.76731,0.000575,1.002126,20,0.006205927,8
0.738824,13.152946,0.828908,0.001609,0.404414,21,0.007045956,8
0.50858,16.062378,0.815913,0.000477,1.115786,22,0.002988674,8
0.484767,48.445846,0.840502,0.000397,0.328837,23,0.0036972696,8
0.185475,27.294688,0.596648,5.9e-05,0.897568,24,0.0017943472,8
0.0,inf,0.0,0.0,inf,25,0.0011428964,8
0.153203,25.806976,0.317549,7.7e-05,1.429471,26,0.003451547,8
0.617979,16.309506,0.708746,0.001263,0.798151,27,0.0058230567,8
0.431468,27.092434,0.957015,0.000534,1.100255,28,0.0055116178,8
0.469599,17.720045,0.819515,0.000661,0.226898,29,0.0070173834,8
0.155504,24.413111,0.266359,7.4e-05,1.172634,30,0.0032172531,8
