DICE,HDRFDST(0.95),VOLSMTY,MUTINF,MAHLNBS,id
9-10-13-25,9-10-25,9-10-25,9-10-13-25,9-10-25,8
9-10-13-25,9-10-25,9-10-25,9-10-13-25,9-10-25,15
